H2_Resource,Zone,Commit,New_Build,etaG2P_MWh_p_tonne,Inv_Cost_p_MW_p_yr,Fixed_OM_p_MW_yr,Var_OM_Cost_p_MWh,Max_Cap_MW,Min_Cap_MW,Existing_Cap_MW,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,G2P_min_output,Start_Cost_per_MW,Up_Time,Down_Time
Fuel_cell_70.0,70.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_71.0,71.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_71.0,71.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_72.0,72.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_72.0,72.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_73.0,73.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_73.0,73.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_74.0,74.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_74.0,74.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_75.0,75.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_75.0,75.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_76.0,76.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_76.0,76.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
